OBJECTID,Leg_Name,LegB_Name,Active_ind,In_Effect_Desc,Shape.STLength()
142,Shoreline,Strait of Juan De Fuca,,April 1 2026 to March 31 2027,437523.0266504695
143,Elwah River,,,April 1 2026 to March 31 2027,39709.74160909727
144,US Highway 101,,,April 1 2026 to March 31 2027,220834.30043196728
145,Game Management Unit 624 Boundary,,,April 1 2026 to March 31 2027,1342.0188469321108
146,South Pine Creek Road,,,April 1 2026 to March 31 2027,9629.635264628492
147,Hagood Cutoff Road,,,April 1 2026 to March 31 2027,28237.560884385985
148,Pine Creek Road,,,April 1 2026 to March 31 2027,18568.579027762047
149,North Lemanasky Road,,,April 1 2026 to March 31 2027,5751.056910454745
150,Horse Spring Coulee Road,,,April 1 2026 to March 31 2027,9489.991912215015
151,Beeman Road,,,April 1 2026 to March 31 2027,13480.114878088592
152,Pine Creek Road,,,April 1 2026 to March 31 2027,15510.670383172297
153,Highway 7,,,April 1 2026 to March 31 2027,2788.737054258084
154,Tunk Valley Road,,,April 1 2026 to March 31 2027,209.56643629385485
155,Main St,,,April 1 2026 to March 31 2027,4321.8101301155275
156,US Highway 97,,,April 1 2026 to March 31 2027,25808.980382810354
157,Henry Road,,,April 1 2026 to March 31 2027,4613.480927458018
158,Public - Private Land Boundaries,,,April 1 2026 to March 31 2027,3786.248867255953
159,Public - Private Land Boundaries,,,April 1 2026 to March 31 2027,12283.518857001804
160,Public - Private Land Boundaries,,,April 1 2026 to March 31 2027,5278.5667055126305
161,Public - Private Land Boundaries,,,April 1 2026 to March 31 2027,2659.39847247605
162,Public - Private Land Boundaries,,,April 1 2026 to March 31 2027,2683.9748206816757
163,Public - Private Land Boundaries,,,April 1 2026 to March 31 2027,6554.279948050512
164,Public - Private Land Boundaries,,,April 1 2026 to March 31 2027,7635.981650436373
165,Public - Private Land Boundaries,,,April 1 2026 to March 31 2027,34536.03278335992
166,Public - Private Land Boundaries,,,April 1 2026 to March 31 2027,20121.91522411131
167,Public - Private Land Boundaries,,,April 1 2026 to March 31 2027,5394.27590427129
168,Public - Private Land Boundaries,,,April 1 2026 to March 31 2027,7932.392863921529
169,Public - Private Land Boundaries,,,April 1 2026 to March 31 2027,1951.3272868784723
170,Public - Private Land Boundaries,,,April 1 2026 to March 31 2027,2197.1081381533977
171,Public - Private Land Boundaries,,,April 1 2026 to March 31 2027,7275.366849523616
172,Public - Private Land Boundaries,,,April 1 2026 to March 31 2027,5192.550687658756
173,Public - Private Land Boundaries,,,April 1 2026 to March 31 2027,5359.8555027096845
174,Public - Private Land Boundaries,,,April 1 2026 to March 31 2027,2523.376702077441
175,Public - Private Land Boundaries,,,April 1 2026 to March 31 2027,2575.2213196186453
176,Public - Private Land Boundaries,,,April 1 2026 to March 31 2027,5270.070731426568
177,Public - Private Land Boundaries,,,April 1 2026 to March 31 2027,5165.610020331089
178,Public - Private Land Boundaries,,,April 1 2026 to March 31 2027,6950.750562684138
179,Public - Private Land Boundaries,,,April 1 2026 to March 31 2027,21886.8011024443
180,Public - Private Land Boundaries,,,April 1 2026 to March 31 2027,63292.32087091741
181,Public - Private Land Boundaries,,,April 1 2026 to March 31 2027,7728.754745585556
182,Public - Private Land Boundaries,,,April 1 2026 to March 31 2027,1331.8012616367978
183,Public - Private Land Boundaries,,,April 1 2026 to March 31 2027,5300.010563316294
184,Public - Private Land Boundaries,,,April 1 2026 to March 31 2027,3629.7954627904933
185,Public - Private Land Boundaries,,,April 1 2026 to March 31 2027,11893.213196382974
186,Public - Private Land Boundaries,,,April 1 2026 to March 31 2027,16060.855583277578
187,Public - Private Land Boundaries,,,April 1 2026 to March 31 2027,15970.421909694072
188,Public - Private Land Boundaries,,,April 1 2026 to March 31 2027,2704.9585723395035
189,Public - Private Land Boundaries,,,April 1 2026 to March 31 2027,12245.630726920723
190,Public - Private Land Boundaries,,,April 1 2026 to March 31 2027,30372.461886536992
191,Public - Private Land Boundaries,,,April 1 2026 to March 31 2027,4936.4437997246905
192,Public - Private Land Boundaries,,,April 1 2026 to March 31 2027,5291.096569349535
193,Public - Private Land Boundaries,,,April 1 2026 to March 31 2027,13452.455542269483
194,Public - Private Land Boundaries,,,April 1 2026 to March 31 2027,5286.807118127489
195,Public - Private Land Boundaries,,,April 1 2026 to March 31 2027,666.7972553204756
